Position (cm),Magnetic Field Strength (Teslas)
-20,6.94E-09
-19,8.10E-09
-18,8.10E-09
-17,8.67E-09
-16,9.25E-09
-15,1.10E-08
-14,1.27E-08
-13,1.56E-08
-12,1.85E-08
-11,2.26E-08
-10,2.66E-08
-9,3.41E-08
-8,4.34E-08
-7,5.67E-08
-6,7.11E-08
-5,9.14E-08
-4,1.13E-07
-3,1.33E-07
-2,1.52E-07
-1,1.65E-07
0,1.73E-07
1,1.73E-07
2,1.68E-07
3,1.57E-07
4,1.40E-07
5,1.20E-07
6,9.83E-08
7,7.75E-08
8,6.13E-08
9,4.74E-08
10,3.70E-08
11,3.01E-08
12,2.43E-08
13,1.97E-08
14,1.73E-08
15,1.39E-08
16,1.27E-08
17,1.04E-08
18,9.25E-09
19,8.10E-09
20,8.10E-09
